$G   S   H   Cp
10158.601026808541 0.003946742799598724 10158.60497355134 0.003948180255974876
10158.59510507585 0.007897802061052062 10158.610900679972 0.00790930280345492
10158.585228327001 0.011857494610012509 10158.620800810831 0.011896368778252508
10158.57138577043 0.01583013709023362 10158.634706318791 0.01592223361512879
10158.553562297964 0.01982004587262054 10158.652662527327 0.01999988062379998
10158.531738484804 0.023831538055674173 10158.674727713138 0.024142338043020573
10158.505890589528 0.027868929828400724 10158.700973098326 0.028362498233036604
10158.475990554078 0.03193653792550322 10158.731482857482 0.03267323509135167
10158.442006003484 0.03603868008212885 10158.766354124224 0.03708767244461342
10158.40390024173 0.04017968431071495 10158.805697084837 0.04161893448326737
10158.361632218768 0.04436394983713399 10158.849635666977 0.04628155038517434
10158.315156361372 0.04859619230046519 10158.898310668978 0.05109610629006056
10158.264421960557 0.052882140425936086 10158.951889786094 0.05609798645309638
10158.209371485085 0.05723004769606632 10159.01059215283 0.06135857256595045
10158.149936847138 0.06165331033116672 10159.074736502105 0.06701123338643811
10158.086032460587 0.06617424533033045 10159.144820385873 0.07328570736717666
10158.017544045255 0.07082874681145768 10159.22163274105 0.08053996261878638
10157.944312561705 0.07567125830973964 10159.30639521128 0.0892844714144303
10157.866113303951 0.08077936709014466 10159.400921278664 0.10019315614044899
10157.782630864123 0.08625736918475013 10159.507778247818 0.11409713588363957
10157.693431256383 0.09223832539646537 10159.630436089708 0.13196630479797022
10157.597932847897 0.09888437180052279 10159.773389027509 0.154872802340833
10157.495377862218 0.1063852821062028 10159.942239350661 0.18395302831777371
10157.384806119177 0.11495547732920386 10160.143737575077 0.22035975371181848
10157.265032412763 0.12482980100685381 10160.385777437934 0.2652194194524782
10157.134628570864 0.13625844640046125 10160.677348177276 0.319590508024703
10156.991910849985 0.14950142185625737 10161.028449240104 0.3844297491014004
10156.834932942455 0.16482291557622375 10161.449974578589 0.4605653237376828
10156.66148454496 0.18248585329274647 10161.95357429045 0.5486790749273496
10156.469095173048 0.20274687967685168 10162.551501563354 0.649294639879372
10156.255042712079 0.22585192582482705 10163.256452412648 0.7627735196365393
10156.016366068041 0.2520324533179519 10164.081404574215 0.8893176171113737
10155.749881213853 0.28150242142146453 10165.039461120761 1.0289782145264326
10155.452199907802 0.31445597278434434 10166.14370298247 1.1816619382443605
10155.119750379654 0.3510658048071491 10167.407053547904 1.3471486768139584
10154.748799325787 0.3914821691978432 10168.84215741691 1.525104504707997
10154.335474618663 0.435832431048766 10170.461274567468 1.7150959475657146
10153.875788209976 0.48422110949104535 10172.276190370636 1.9166099051290075
10153.36565878482 0.536730322164658 10174.298141349242 2.1290646644956723
10152.800933801962 0.5934205561970884 10176.537756049845 2.3518279995187186
10152.177410629065 0.654331695750443 10179.005010154833 2.5842289852334943
10151.490856549744 0.7194842404715018 10181.709194649547 2.825571612902422
10150.737027480252 0.7888806597293296 10184.658895848614 3.075143097248656
10149.9116852868 0.862506828889309 10187.861985757929 3.332229435636691
10149.01061363999 0.9403335118804534 10191.32562167461 3.596117429606238
10148.02963238096 1.0223178515843756 10195.056253553841 3.866105567522027
10146.964610404884 1.1084048398515733 10199.059637877908 4.141510054796527
10145.811477092346 1.1985287474999495 10203.340856972343 4.421666724556417
10144.566232338373 1.29261449792466 10207.904342736681 4.705938948427502
10143.224955243286 1.3905789684940828 10212.75390366799 4.993718183322926
10141.783811539832 1.4923322139111406 10217.8927544493 5.28442491304304
10140.239059837882 1.5977786079020007 10223.323547448786 5.577513927619293
10138.587056771803 1.7068178964109393 10229.048405281583 5.872471594375384
10136.824261137303 1.8193461649389064 10235.068954044003 6.168819050617458
10134.947237104207 1.935256719480094 10241.386356675612 6.46610820240312
10132.952656589921 2.054440885058284 10248.001346153185 6.763926188705227
10130.837300875517 2.1767887225905724 10254.91425806318 7.061892386263935
10128.598061542703 2.302189670444932 10262.12506242851 7.359655466279946
10126.231940805876 2.4305331141476927 10269.63339454059 7.65689704221586
10123.736051308708 2.5617088880608208 10277.438584592357 7.953324484060431
10121.10761545021 2.6956077154864033 10285.53968609488 8.248678258314612
10118.343964300151 2.8321215907453734 10293.935502926364 8.54271864027396
10115.442536159182 2.9711441084145918 10302.624614989301 8.835235250626283
10112.400874814082 3.1125707447245077 10311.60540247645 9.126039628154103
10109.216627534262 3.256299094573478 10320.876068681539 9.414966390068003
10105.88754285115 3.4022290687062196 10330.43466138576 9.701869890341186
10102.41146815818 3.550263056422409 10340.279092938481 9.986624732391647
10098.786347165158 3.7003060549068323 10350.407158898823 10.269123472880892
10095.010217237239 3.852265771092789 10360.816555442641 10.54927279756157
10091.081206645504 4.006052696968254 10371.504895433281 10.826998228094453
10086.99753175297 4.161580163599865 10382.46972336856 11.102238878447679
10082.757494157142 4.31876437523897 10393.708529174348 11.374946959040244
10078.359477807639 4.47752442496494 10405.21876083008 11.645086230964807
10073.801946115056 4.637782296595105 10416.997836063094 11.91263032360439
10069.083439065189 4.799462853043224 10429.04315304343 12.177567395519873
10064.202570350702 4.962493813127367 10441.352100148382 12.439891006852122
10059.158024530774 5.12680571864621 10453.922064866532 12.699603213786759
10053.948554227547 5.2923318943612685 10466.750441987726 12.956718286022806
10048.57297736688 5.459008399884624 10479.834640957766 13.21125163913166
10043.030174469726 5.62677397601874 10493.172092551225 13.463227930242283
10037.319085999225 5.795569987458293 10506.760254983346 13.712678754563967
10031.438709767719 5.965340360853588 10520.596619357713 13.959638318192447
10025.38809840704 6.136031519326934 10534.678714511176 14.20414711246849
10019.166356904541 6.307592317352828 10549.004111562179 14.44624939276764
10012.77264020682 6.4799739706359105 10563.570427710873 14.685993976490863
10006.206150892374 6.653129988171713 10578.375329875142 14.923430817361805
9999.46613691399 6.827016100487526 10593.416537656405 15.158614485517319
9992.551889411172 7.001590191794094 10608.691826289052 15.391601915052888
9985.462740592558 7.17681222840838 10624.199028920904 15.622453255309665
9978.198061687921 7.35264419026862 10639.936038812097 15.851226663744455
9970.757260969098 7.529050001448923 10655.90081110095 16.077987256539927
9963.139781838892 7.7059954651304 10672.091364630889 16.302799947698077
9955.345100986842 7.883448193933873 10688.505783022692 16.52572902112297
9947.37272661057 8.061377547983284 10705.142216121 16.74684026011164
9939.22219670124 8.239754569876823 10721.998880839537 16.96620324601099
9930.893077391598 8.418551923568884 10739.074062054211 17.183885521899356
9922.38496136495 8.59774383425247 10756.36611328744 17.399954345182778
9913.69746632333 8.777306029514875 10773.873457215788 17.6144812477105
9904.83023351312 8.95721568404042 10791.594586233121 17.827536992444948
9895.782926306269 9.137451362948923 10809.52806260116 18.039188050170196
9886.555228835334 9.317992971045896 10827.67251891097 18.249507580367208
9877.146844680412 9.498821700344706 10846.026658115572 18.45856622348947
9867.55749560615 9.67991998168145 10864.58925371934 18.666432182726567
9857.786920346982 9.86127143696649 10883.359149791497 18.87317795353738
9847.834873438707 10.04286083389161 10902.335260997326 19.078874572460336
9837.701124094607 10.22467404272902 10921.516572623883 19.28359180201369
9827.385455124286 10.406697993767011 10940.902140457356 19.48739834551816
9816.887661893456 10.588920638201671 10960.491090819236 19.690367980911105
9806.207551322861 10.771330908391974 10980.282620337586 19.892569693911355
9795.344940924688 10.953918682935182 11000.275996047558 20.09407276927959
9784.299657874695 11.136674750559905 11020.470555186845 20.294947138427233
9773.071538118455 11.31959077765714 11040.865705216054 20.495265788031247
9761.660425510005 11.502659275629412 11061.460923656128 20.69509600269157
9750.066170981416 11.685873571968841 11082.255758185864 20.894508804849465
9738.288631741601 11.869227780971414 11103.249826553314 21.093574794031156
9726.327670502931 12.052716777270689 11124.442816666331 21.292364515102236
9714.1831547341 12.236336169280548 11145.834486539925 21.490945129698957
9701.854955937826 12.420082276548783 11167.424664570583 21.689392485041026
9689.342948951895 12.60395210583738 11189.213249546543 21.887771883211826
9676.64701127222 12.78794333074984 11211.2002109622 22.08615661074873
9663.767022396476 12.972054270812805 11233.385589164825 22.28461826362036
9650.702863187002 13.156283874104702 11255.769495827775 22.483226008625934
9637.454415251628 13.340631698974903 11278.352114225541 22.68205253276392
9624.021560341143 13.525097898582317 11301.13369976535 22.881172959932883
9610.40417976209 13.709683205979672 11324.11458050955 23.08065689394425
9596.602153803664 13.894388920471101 11347.295157783023 23.28057726736006
9582.61536117744 14.079216896152502 11370.675906988808 23.48101211919129
9568.443678468693 14.264169529906212 11394.257378296688 23.68203423156956
9554.086979598093 14.449249752397009 11418.040197657307 23.88372022060139
9539.54513529255 14.634461019159062 11442.025067783228 24.086148239257454
9524.818012564 14.819807303592825 11466.21276933466 24.289396167296218
9509.905474194888 15.005293090234773 11490.604162105878 24.493545722998533
9494.807378229163 15.190923370937526 11515.200186563854 24.698674667888554
9479.52357746755 15.376703639776679 11540.001865197624 24.904866330416553
9464.053918965834 15.562639892232255 11565.010304417188 25.11220974047319
9448.398243534935 15.748738622369274 11590.226696177157 25.320786780321214
9432.556385241505 15.935006824838638 11615.652320244399 25.53068928564244
9416.528170907723 16.121451994513336 11641.288546150563 25.74200553699484
9400.313419609007 16.30808213021737 11667.136835709221 25.954832695606456
9383.911942168255 16.494905739182286 11693.198745653775 26.16926304744993
9367.323540645255 16.681931841685582 11719.475930322922 26.385398502134194
9350.548007819792 16.86916997841763 11745.970144755096 26.603339885878086
9333.585126667025 17.05663021957662 11772.683248066482 26.82319398245454
9316.434669823515 17.244323173872544 11799.617206861161 27.045069740233885
9299.096399042388 17.432260001623945 11826.77409927786 27.269080909809418
9281.570064635907 17.620452426854172 11854.156118956616 27.495343478949508
9263.855404903732 17.80891275338945 11881.765579651981 27.723985699867626
9245.952145544989 17.99765388122978 11909.604919966996 27.95512554821471
9227.859999052334 18.186689326739724 11937.676708736553 28.188903490354278
9209.578664085826 18.376033242475387 11965.983650457134 28.42545451831029
9191.107824824616 18.565700441740773 11994.528591527473 28.664926415967784
9172.447150294085 18.755706423326046 12023.314526639644 28.907469040495926
9153.596293666089 18.946067400429456 12052.344605931796 29.153241257972695
9134.554891529739 19.136800330852566 12081.622142481034 29.402412548097345
9115.322563130005 19.327922950651555 12111.150620480996 29.655154796637362
9095.898909571293 19.519453811244603 12140.933704125451 29.911654331590398
9076.283512982896 19.71141231833826 12170.975246962003 30.172107289945416
9056.475935643033 19.90381877603795 12201.27930225703 30.436713355629763
9036.475719058028 20.096694432322693 12231.850133797336 30.70569455921941
9016.28238299281 20.29006153006776 12262.69222780365 30.9792798619128
8995.895424448794 20.483943363251456 12293.810305932278 31.257705245025136
8975.314316584852 20.678364333616628 12325.209338630746 31.541232957351895
8954.538507576697 20.87335001633619 12356.894560239496 31.830129958052567
8933.56741940986 21.068927228770917 12388.87148492829 32.124687308350985
8912.400446600892 21.26512410422947 12421.145923798755 32.425211007557664
8891.036954841149 21.46197017382292 12453.724003695754 32.73202530872368
8869.476279557051 21.65949645168439 12486.612186988345 33.04547766138057
8847.71772438025 21.857735529010824 12519.81729325407 33.36593465155602
8825.760559520702 22.056721675380686 12553.346522660038 33.69379084051616
8803.604020035022 22.256490946801932 12587.20748099135 34.02946476408033
8781.24730398202 22.45708130321873 12621.408206832422 34.373404875805136
8758.689570456654 22.65853273411267 12655.957200724033 34.726085513830185
8735.929937492972 22.860887395017926 12690.863456831074 35.08801686375591
8712.967479825908 23.06418975440465 12726.136497092317 35.45974417174875
8689.801226501062 23.26848674993016 12761.78640773884 35.84185884155886
8666.430158320665 23.47382795978774 12797.823879243308 36.23497466851404
8642.853205113206 23.68026578487843 12834.260249036688 36.63976842590273
8619.069242813028 23.887855646535172 12871.107547896288 37.056957059303386
8595.077090335342 24.096656198616984 12908.378549887782 37.48730906409037
8570.87550623092 24.306729555883066 12946.086826289871 37.931648033463716
8546.463185103505 24.51814153992018 12984.246803829057 38.390862871256104
8521.838753771752 24.73096194489699 13022.873827743004 38.865905063721584
8497.00076715609 24.94526482278161 13061.984229725125 39.35779580006056
8471.947703869404 25.161128790114162 13101.59540125041 39.86763244956819
8446.677961488864 25.378637358517153 13141.725872814537 40.39660193047894
8421.189851484482 25.59787929212689 13182.395399820083 40.945964010734315
8395.481593778171 25.81894898949031 13223.62505481286 41.51709268726336
8369.551310905033 26.041946897021262 13265.43732754503 42.111454724363284
8343.397021746548 26.266979952561087 13307.856232780594 42.73063212449415
8317.016634803022 26.494162062954274 13350.907426764334 43.37632710739854
8290.407940970194 26.723614619277214 13394.618333252141 44.05037498772799
8263.568605782279 26.95546704953813 13439.0182792936 44.754746904254716
8236.496161080935 27.189857413486607 13484.13864188385 45.49157624524014
8209.187996066576 27.426933044353063 13530.01300667107 46.2631461105957
8181.641347685271 27.66685123692696 13576.677338886027 47.07193658350661
8153.85329030091 27.909779988931405 13624.170168131466 47.92060206018505
8125.820724598737 28.155898797604095 13672.532787726745 48.81201540074471
8097.540365662222 28.40539951721439 13721.809470070672 49.749265596983605
8069.008730161103 28.658487280335976 13772.047698947961 50.735682386039116
8040.222122583787 28.914421835861503 13823.106489756086 37.00974424427841
8011.2128846527185 29.102014716909252 13860.717842751477 36.858081784612295
7982.020189291217 29.282401193086116 13897.065230294613 35.85975637934098
7952.649913770179 29.45728847589635 13932.479474377138 34.98796060721361
7923.107236440323 29.627299626463355 13967.076360238847 34.22192921880196
7893.396764759427 29.792956900382705 14000.952929337882 33.54479674508184
7863.522626267503 29.95470068403847 14034.190967179427 32.942796252064
7833.488542633354 30.112904571797117 14066.859788995356 32.404664175919606
7803.297890200439 30.267887411946504 14099.018471885312 31.921120060451358
7772.953749726739 30.419922967166713 14130.717649864582 31.484493284642667
7742.4589474431805 30.569247690254997 14162.00096239673 31.088420621199475
7711.816089110888 30.716067008188475 14192.906227838655 30.72759101060001
7681.027588410441 30.860560419569083 14223.466397359087 30.397551009446033
7650.095690724174 31.002885646284994 14253.710333382878 30.094548979923275
7619.022493158864 31.143182028927185 14283.663447349281 29.81541998024113
7587.80996148769 31.28157331498187 14313.348224208792 29.55746201796501
7556.459944557322 31.41816995771478 14342.784655423715 29.31837422402168
7524.974186600423 31.55307102038023 14371.990598022934 29.09617816530954
7493.354337810126 31.686365759514956 14400.982073384386 28.889176343000145
